"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,266478,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,282346.91,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,291930.39,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,286188.36,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,294627.5,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,308630.28,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,317116.96,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,322539.23,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,330417.6,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,339896.04,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1990","1990","EUR","Euro","6","Millions","2010","2010",195866.4911,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1991","1991","EUR","Euro","6","Millions","2010","2010",202607.4859,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1992","1992","EUR","Euro","6","Millions","2010","2010",206849.1237,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1993","1993","EUR","Euro","6","Millions","2010","2010",207938.8245,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1994","1994","EUR","Euro","6","Millions","2010","2010",212933.762,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1995","1995","EUR","Euro","6","Millions","2010","2010",218614.8,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1996","1996","EUR","Euro","6","Millions","2010","2010",223857.87,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1997","1997","EUR","Euro","6","Millions","2010","2010",228793.98,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1998","1998","EUR","Euro","6","Millions","2010","2010",236938.97,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1999","1999","EUR","Euro","6","Millions","2010","2010",245445.05,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2000","2000","EUR","Euro","6","Millions","2010","2010",253712.64,,
