"ID","SectorBranchesSIC2008","Periods","OutputBasicPrices_1","IntermediateConsumption_2","GrossValueAddedBasicPrices_3","OutputBasicPrices_4","IntermediateConsumption_5","GrossValueAddedBasicPrices_6","OutputBasicPrices_7","IntermediateConsumption_8","GrossValueAddedBasicPrices_9","OutputBasicPrices_10","IntermediateConsumption_11","GrossValueAddedBasicPrices_12","Total_13","WagesAndSalaries_14","EmployersSocialContributions_15","Gross_16","ConsumptionOfFixedCapital_17","Net_18","TaxesLessSubsidies_19","OtherTaxesOnProduction_20","OtherSubsidiesOnProduction_21","GrossValueAddedBasicPrices_22"
116,"300002","2006JJ00",288969,193209,95760,304906,210010,95034,2,2.4,1.3,94.8,92,100.8,38537,31033,7504,57252,16220,41032,-29,544,573,95760
117,"300002","2007JJ00",307826,207263,100563,314918,216360,98654,3.3,3,3.8,97.7,95.8,101.9,40160,32249,7911,60439,16676,43763,-36,552,588,100563
118,"300002","2008JJ00",326386,221663,104723,314227,215910,98414,-0.2,-0.2,-0.2,103.9,102.7,106.4,42372,33337,9035,62363,17287,45076,-12,679,691,104723
119,"300002","2009JJ00",281200,188599,92601,292721,203268,89618,-6.8,-5.9,-8.9,96.1,92.8,103.3,43103,32893,10210,49934,17704,32230,-436,802,1238,92601
120,"300002","2010JJ00",305816,210667,95149,305816,210667,95149,4.5,3.6,6.2,100,100,100,41042,32815,8227,54194,17973,36221,-87,819,906,95149
121,"300002","2011JJ00",342176,242695,99481,318714,222575,96139,4.2,5.7,1,107.4,109,103.5,42141,33417,8724,57164,18241,38923,176,916,740,99481
122,"300002","2012JJ00",350694,249238,101456,317231,222215,94979,-0.5,-0.2,-1.2,110.5,112.2,106.8,42741,33578,9163,58456,18625,39831,259,844,585,101456
123,"300002","2013JJ00",346641,246983,99658,318346,222383,95957,0.4,0.1,1,108.9,111.1,103.9,43211,34159,9052,56279,18800,37479,168,679,511,99658
124,"300002","2014JJ00",341153,245876,95277,321504,226780,94566,1,2,-1.4,106.1,108.4,100.8,44412,34317,10095,50524,19204,31320,341,788,447,95277
125,"300002","2015JJ00",331530,237836,93694,326452,233271,92793,1.5,2.9,-1.9,101.6,102,101,44700,35244,9456,48706,19748,28958,288,731,443,93694
126,"305700","1995JJ00",8873,1726,7147,19981,2027,19415,NA,NA,NA,44.4,85.2,36.8,694,529,165,6440,854,5586,13,14,1,7147
127,"305700","1996JJ00",10437,1930,8507,22555,2221,22069,12.9,9.6,13.7,46.3,86.9,38.5,713,547,166,7780,888,6892,14,15,1,8507
128,"305700","1997JJ00",10249,2026,8223,20733,2292,19724,-8.1,3.2,-10.6,49.4,88.4,41.7,701,548,153,7510,947,6563,12,13,1,8223
129,"305700","1998JJ00",9597,2123,7474,20215,2352,18983,-2.5,2.6,-3.8,47.5,90.3,39.4,715,541,174,6749,1006,5743,10,11,1,7474
130,"305700","1999JJ00",8551,2098,6453,19248,2277,17987,-4.8,-3.2,-5.2,44.4,92.1,35.9,682,536,146,5758,1056,4702,13,15,2,6453
131,"305700","2000JJ00",11276,2196,9080,18276,2326,16658,-5.1,2.1,-7.4,61.7,94.4,54.5,754,532,222,8310,1112,7198,16,17,1,9080
132,"305700","2001JJ00",13974,2369,11605,19162,2455,17437,4.9,5.6,4.7,72.9,96.5,66.6,728,536,192,10858,1184,9674,19,21,2,11605
133,"305700","2002JJ00",12942,2430,10512,19101,2438,17395,-0.3,-0.7,-0.2,67.8,99.7,60.4,813,594,219,9683,1254,8429,16,20,4,10512
134,"305700","2003JJ00",13534,2524,11010,19002,2455,17256,-0.5,0.7,-0.8,71.2,102.8,63.8,818,604,214,10177,1306,8871,15,18,3,11010
135,"305700","2004JJ00",14338,2640,11698,20535,2538,18835,8.1,3.4,9.1,69.8,104,62.1,849,615,234,10832,1335,9497,17,19,2,11698
136,"305700","2005JJ00",16454,3596,12858,19098,3462,15671,-7,36.4,-16.8,86.2,103.9,82.1,691,514,177,12149,1358,10791,18,20,2,12858
137,"305700","2006JJ00",19949,3678,16271,18863,3554,15308,-1.2,2.6,-2.3,105.8,103.5,106.3,688,518,170,15565,1421,14144,18,20,2,16271
138,"305700","2007JJ00",19715,3644,16071,18707,3547,15159,-0.8,-0.2,-1,105.4,102.7,106,729,544,185,15327,1479,13848,15,17,2,16071
139,"305700","2008JJ00",25363,3856,21507,19792,3644,16144,5.8,2.7,6.5,128.1,105.8,133.2,768,567,201,20724,1554,19170,15,17,2,21507
140,"305700","2009JJ00",19874,3635,16239,18796,3526,15279,-5,-3.2,-5.4,105.7,103.1,106.3,776,581,195,15448,1607,13841,15,18,3,16239
141,"305700","2010JJ00",20846,3563,17283,20846,3563,17283,10.9,1,13.1,100,100,100,809,604,205,16458,1638,14820,16,21,5,17283
142,"305700","2011JJ00",22399,3840,18559,19583,3731,15852,-6.1,4.7,-8.3,114.4,102.9,117.1,912,670,242,17625,1709,15916,22,27,5,18559
143,"305700","2012JJ00",25434,4107,21327,19703,3885,15833,0.6,4.1,-0.1,129.1,105.7,134.7,964,677,287,20345,1802,18543,18,23,5,21327
144,"305700","2013JJ00",26497,4336,22161,21051,4023,17018,6.8,3.5,7.5,125.9,107.8,130.2,1052,742,310,21082,1891,19191,27,32,5,22161
145,"305700","2014JJ00",21828,4756,17072,19150,4423,14849,-9,10,-12.7,114,107.5,115,1162,805,357,15869,1985,13884,41,42,1,17072
146,"305700","2015JJ00",17171,4598,12573,16585,4284,12436,-13.4,-3.2,-16.2,103.5,107.3,101.1,1234,873,361,11315,2077,9238,24,29,5,12573
147,"305800","1995JJ00",8269,1380,6889,19532,1595,19463,NA,NA,NA,42.3,86.5,35.4,623,468,155,6253,825,5428,13,13,0,6889
148,"305800","1996JJ00",9735,1537,8198,22036,1745,22090,12.8,9.4,13.5,44.2,88.1,37.1,637,482,155,7549,859,6690,12,12,0,8198
149,"305800","1997JJ00",9475,1600,7875,19997,1790,19554,-9.3,2.6,-11.5,47.4,89.4,40.3,619,478,141,7246,917,6329,10,10,0,7875
150,"305800","1998JJ00",8818,1686,7132,19454,1845,18795,-2.7,3.1,-3.9,45.3,91.4,37.9,627,470,157,6495,976,5519,10,10,0,7132
151,"305800","1999JJ00",7665,1631,6034,18157,1746,17482,-6.7,-5.3,-7,42.2,93.4,34.5,587,457,130,5433,1025,4408,14,14,0,6034
152,"305800","2000JJ00",10397,1715,8682,17198,1801,16161,-5.3,3.1,-7.6,60.5,95.2,53.7,652,449,203,8014,1079,6935,16,16,0,8682
153,"305800","2001JJ00",13012,1877,11135,18094,1938,16928,5.2,7.6,4.7,71.9,96.9,65.8,642,464,178,10476,1150,9326,17,18,1,11135
154,"305800","2002JJ00",11948,1929,10019,17998,1919,16850,-0.5,-1,-0.5,66.4,100.5,59.5,722,518,204,9282,1218,8064,15,16,1,10019
155,"305800","2003JJ00",12556,2027,10529,17930,1939,16741,-0.4,1,-0.6,70,104.5,62.9,725,525,200,9789,1269,8520,15,16,1,10529
156,"305800","2004JJ00",13448,2171,11277,19618,2050,18436,9.4,5.7,10.1,68.5,105.9,61.2,758,538,220,10505,1297,9208,14,15,1,11277
157,"305800","2005JJ00",15591,3117,12474,18196,2962,15263,-7.3,44.5,-17.2,85.7,105.2,81.7,602,438,164,11857,1319,10538,15,16,1,12474
158,"305800","2006JJ00",19131,3208,15923,18006,3068,14926,-1,3.6,-2.2,106.2,104.5,106.7,598,441,157,15310,1381,13929,15,16,1,15923
159,"305800","2007JJ00",18925,3194,15731,17891,3086,14795,-0.6,0.6,-0.9,105.8,103.5,106.3,640,468,172,15077,1437,13640,14,15,1,15731
160,"305800","2008JJ00",24543,3371,21172,18995,3190,15792,6.2,3.4,6.7,129.2,105.7,134.1,674,488,186,20484,1509,18975,14,15,1,21172
161,"305800","2009JJ00",19159,3241,15918,18100,3131,14975,-4.7,-1.8,-5.2,105.9,103.5,106.3,683,503,180,15220,1561,13659,15,16,1,15918
162,"305800","2010JJ00",20195,3197,16998,20195,3197,16998,11.6,2.1,13.5,100,100,100,717,527,190,16265,1592,14673,16,19,3,16998
163,"305800","2011JJ00",21649,3423,18226,18837,3327,15510,-6.7,4.1,-8.8,114.9,102.9,117.5,772,551,221,17432,1664,15768,22,25,3,18226
164,"305800","2012JJ00",24713,3690,21023,19005,3489,15532,0.9,4.9,0.1,130,105.8,135.4,858,589,269,20147,1757,18390,18,21,3,21023
165,"305800","2013JJ00",25865,3956,21909,20415,3660,16753,7.4,4.9,7.9,126.7,108.1,130.8,945,653,292,20937,1846,19091,27,30,3,21909
166,"305800","2014JJ00",21149,4356,16793,18480,4033,14570,-9.5,10.2,-13,114.4,108,115.3,1050,713,337,15704,1940,13764,39,40,1,16793
